completion_date,model_used,original_path,summary_path,status
2026-04-05 10:34:39,ollama:gemma4:26b,/app/input/CIPL_Accountable_AI_Best_Practices_Guide_1770634594.pdf,/app/output/CIPL_Accountable_AI_Best_Practices_Guide_1770634594.pdf.md,completed
2026-04-05 11:33:37,ollama:gemma4:26b,/app/input/Cyber_AI_Profile_NIST_IR_8596_1767943933.pdf,/app/output/Cyber_AI_Profile_NIST_IR_8596_1767943933.pdf.md,completed
2026-04-05 11:41:56,ollama:gemma4:26b,/app/input/deepseek outage factcheck.docx,/app/output/deepseek outage factcheck.docx.md,completed
2026-04-05 12:32:34,ollama:gemma4:26b,/app/input/The_Diseased_Brain_COMPLETE.pdf,/app/N/A,error
2026-04-05 12:50:14,ollama:gemma4:26b,/app/input/Model_Framework_for_Agentic_AI_1769518193.pdf,/app/output/Model_Framework_for_Agentic_AI_1769518193.pdf.md,completed
2026-04-05 12:56:32,ollama:gemma4:26b,/app/input/The_ROI_of_AI_Ethics_1769145950.pdf,/app/output/The_ROI_of_AI_Ethics_1769145950.pdf.md,completed
2026-04-05 13:36:21,ollama/gemma4:26b,/app/input/2409.06561v1.pdf,/app/output/2409.06561v1.pdf.md,completed
2026-04-06 09:51:58,ollama/gemma4:26b,/Volumes/home/archives/papers/audible-how to think like scientist.pdf,/Users/bstove/Library/Mobile Documents/iCloud~md~obsidian/Documents/Notes-Vault/00_Inbox/ricemaker/audible-how to think like scientist.pdf.md,completed
2026-04-06 09:53:12,ollama/gemma4:26b,/Volumes/home/archives/papers/understanding-workday-security.pdf,/Users/bstove/Library/Mobile Documents/iCloud~md~obsidian/Documents/Notes-Vault/00_Inbox/ricemaker/understanding-workday-security.pdf.md,completed
2026-04-06 09:53:12,ollama/gemma4:26b,/Volumes/home/archives/papers/Compliance and Risk explained with 2 cows.pdf,/app/N/A,error
2026-04-06 10:03:11,ollama/gemma4:26b,/Volumes/home/archives/papers/LLM_Cybersecurity_1740195194.pdf,/Users/bstove/Library/Mobile Documents/iCloud~md~obsidian/Documents/Notes-Vault/00_Inbox/ricemaker/LLM_Cybersecurity_1740195194.pdf.md,completed
2026-04-06 10:15:09,ollama/gemma4:26b,/Volumes/home/archives/papers/Compliance and Risk explained with 2 cows.pdf,/app/N/A,error
2026-04-06 10:23:30,ollama/gemma4:26b,/Volumes/home/archives/papers/More-global-supply-chain-snarls.pdf,/Users/bstove/Library/Mobile Documents/iCloud~md~obsidian/Documents/Notes-Vault/00_Inbox/ricemaker/More-global-supply-chain-snarls.pdf.md,completed
2026-04-06 10:37:53,ollama/gemma4:26b,/Volumes/home/archives/papers/You Have An Amazing Memory - Workbook.pdf,/Users/bstove/Library/Mobile Documents/iCloud~md~obsidian/Documents/Notes-Vault/00_Inbox/ricemaker/You Have An Amazing Memory - Workbook.pdf.md,completed
2026-04-06 10:57:26,ollama/gemma4:26b,/Volumes/home/archives/papers/20220512-RPT-Data_in_Motion-EN_US.pdf,/Users/bstove/Library/Mobile Documents/iCloud~md~obsidian/Documents/Notes-Vault/00_Inbox/ricemaker/20220512-RPT-Data_in_Motion-EN_US.pdf.md,completed
2026-04-06 11:03:49,ollama/gemma4:26b,/Volumes/home/archives/papers/Who_Should_Develop_Which_AI_Evaluations_1739343103.pdf,/Users/bstove/Library/Mobile Documents/iCloud~md~obsidian/Documents/Notes-Vault/00_Inbox/ricemaker/Who_Should_Develop_Which_AI_Evaluations_1739343103.pdf.md,completed
2026-04-06 11:06:32,ollama/gemma4:26b,/Volumes/home/archives/papers/It - OT Secs.pdf,/Users/bstove/Library/Mobile Documents/iCloud~md~obsidian/Documents/Notes-Vault/00_Inbox/ricemaker/It - OT Secs.pdf.md,completed
2026-04-06 11:44:28,ollama/gemma4:26b,/Volumes/home/archives/papers/audible-writing creative nonfiction.pdf,/Users/bstove/Library/Mobile Documents/iCloud~md~obsidian/Documents/Notes-Vault/00_Inbox/ricemaker/audible-writing creative nonfiction.pdf.md,completed
2026-04-06 11:45:53,ollama/gemma4:26b,/Volumes/home/archives/papers/116_Best_Cybersecurity_Tools_For_You__1767699386.pdf,/Users/bstove/Library/Mobile Documents/iCloud~md~obsidian/Documents/Notes-Vault/00_Inbox/ricemaker/116_Best_Cybersecurity_Tools_For_You__1767699386.pdf.md,completed
2026-04-06 12:05:06,ollama/gemma4:26b,/Volumes/home/archives/papers/半导体供应链中新兴的弹性-BCG&SIA-2024.5-38页 2024-08-04 16_04_10.pdf,/Users/bstove/Library/Mobile Documents/iCloud~md~obsidian/Documents/Notes-Vault/00_Inbox/ricemaker/半导体供应链中新兴的弹性-BCG&SIA-2024.5-38页 2024-08-04 16_04_10.pdf.md,completed
2026-04-06 12:17:48,ollama/gemma4:26b,/Volumes/home/archives/papers/Microsoft_Lessons_from_Red_Teaming_100_Gen_AI_Products_1737306397.pdf,/Users/bstove/Library/Mobile Documents/iCloud~md~obsidian/Documents/Notes-Vault/00_Inbox/ricemaker/Microsoft_Lessons_from_Red_Teaming_100_Gen_AI_Products_1737306397.pdf.md,completed
2026-04-06 12:31:01,ollama/gemma4:26b,/Volumes/home/archives/papers/Compliance and Risk explained with 2 cows.pdf,/app/N/A,error
2026-04-06 12:37:25,ollama/gemma4:26b,/Volumes/home/archives/papers/Information Paper on AI Risk Management Final.pdf,/Users/bstove/Library/Mobile Documents/iCloud~md~obsidian/Documents/Notes-Vault/00_Inbox/ricemaker/Information Paper on AI Risk Management Final.pdf.md,completed
2026-04-06 13:05:42,ollama/gemma4:26b,/Volumes/home/archives/papers/AAAI-2025-PresPanel-Report-FINAL.pdf,/Users/bstove/Library/Mobile Documents/iCloud~md~obsidian/Documents/Notes-Vault/00_Inbox/ricemaker/AAAI-2025-PresPanel-Report-FINAL.pdf.md,completed
2026-04-06 13:08:31,ollama/gemma4:26b,/Volumes/home/archives/papers/中国AI大混战背后-想超越美国 又离不开美国 - 纽约时报中文网.pdf,/Users/bstove/Library/Mobile Documents/iCloud~md~obsidian/Documents/Notes-Vault/00_Inbox/ricemaker/中国AI大混战背后-想超越美国 又离不开美国 - 纽约时报中文网.pdf.md,completed
2026-04-06 13:33:07,ollama/gemma4:26b,/Volumes/home/archives/papers/audible-analysis and critique writing.pdf,/Users/bstove/Library/Mobile Documents/iCloud~md~obsidian/Documents/Notes-Vault/00_Inbox/ricemaker/audible-analysis and critique writing.pdf.md,completed
2026-04-06 13:51:45,ollama/gemma4:26b,/Volumes/home/archives/papers/Compliance and Risk explained with 2 cows.pdf,/app/N/A,error
2026-04-06 13:57:09,ollama/gemma4:26b,/Volumes/home/archives/papers/Compliance and Risk explained with 2 cows.pdf,/app/N/A,error
2026-04-06 14:03:38,ollama/gemma4:26b,/Volumes/home/archives/papers/csfforesight2024.pdf,/Users/bstove/Library/Mobile Documents/iCloud~md~obsidian/Documents/Notes-Vault/00_Inbox/ricemaker/csfforesight2024.pdf.md,completed
2026-04-06 14:06:02,ollama/gemma4:26b,/Volumes/home/archives/papers/Haunted Empire-Kindle Notes.pdf,/Users/bstove/Library/Mobile Documents/iCloud~md~obsidian/Documents/Notes-Vault/00_Inbox/ricemaker/Haunted Empire-Kindle Notes.pdf.md,completed
2026-04-06 19:38:19,ollama/gemma4:26b,/Volumes/home/archives/papers/WEF the future of work report.pdf,/Users/bstove/Library/Mobile Documents/iCloud~md~obsidian/Documents/Notes-Vault/00_Inbox/ricemaker/WEF the future of work report.pdf.md,completed
2026-04-06 20:00:42,ollama/gemma4:latest,/Volumes/home/archives/papers/ISO-IEC JTC 1-SC 27-WG 4_N6788_Proposed text for ISO-IEC DIS 27090.pdf,/app/N/A,error
2026-04-07 04:03:48,ollama/gemma4:26b,/Volumes/home/archives/papers/Compliance and Risk explained with 2 cows.pdf,/app/N/A,error
2026-04-07 04:39:04,ollama/gemma4:26b,/Volumes/home/archives/papers/ISO-IEC JTC 1-SC 27-WG 4_N6788_Proposed text for ISO-IEC DIS 27090.pdf,/Users/bstove/Library/Mobile Documents/iCloud~md~obsidian/Documents/Notes-Vault/00_Inbox/ricemaker/ISO-IEC JTC 1-SC 27-WG 4_N6788_Proposed text for ISO-IEC DIS 27090.pdf.md,completed
2026-04-07 05:18:18,ollama/gemma4:26b,/Volumes/home/archives/papers/Compliance and Risk explained with 2 cows.pdf,/app/N/A,error
2026-04-07 05:30:38,ollama/gemma4:26b,/Volumes/home/archives/papers/Compliance and Risk explained with 2 cows.pdf,/app/N/A,error
2026-04-07 05:54:34,ollama/gemma4:26b,/Volumes/home/archives/papers/csa_report_2022.pdf,/Users/bstove/Library/Mobile Documents/iCloud~md~obsidian/Documents/Notes-Vault/00_Inbox/ricemaker/csa_report_2022.pdf.md,completed
2026-04-07 06:07:57,ollama/gemma4:26b,/Volumes/home/archives/papers/audible-understanding complexity.pdf,/Users/bstove/Library/Mobile Documents/iCloud~md~obsidian/Documents/Notes-Vault/00_Inbox/ricemaker/audible-understanding complexity.pdf.md,completed
2026-04-07 06:13:46,ollama/gemma4:26b,/Volumes/home/archives/papers/HealthCheckReport_171123_0514.pdf,/Users/bstove/Library/Mobile Documents/iCloud~md~obsidian/Documents/Notes-Vault/00_Inbox/ricemaker/HealthCheckReport_171123_0514.pdf.md,completed
2026-04-07 06:26:04,ollama/gemma4:26b,/Volumes/home/archives/papers/OWASP_Agentic_AI_Threats_and_Mitigations_1740195294.pdf,/Users/bstove/Library/Mobile Documents/iCloud~md~obsidian/Documents/Notes-Vault/00_Inbox/ricemaker/OWASP_Agentic_AI_Threats_and_Mitigations_1740195294.pdf.md,completed
2026-04-07 06:29:16,ollama/gemma4:26b,/Volumes/home/archives/papers/[EN]長谷川_DFIR_APAC_SUMMIT_2023_0901[94].pdf,/Users/bstove/Library/Mobile Documents/iCloud~md~obsidian/Documents/Notes-Vault/00_Inbox/ricemaker/[EN]長谷川_DFIR_APAC_SUMMIT_2023_0901[94].pdf.md,completed
2026-04-07 06:38:46,ollama/gemma4:26b,/Volumes/home/archives/papers/security-behavior-1-s2.0-S0040162523007138-main.pdf,/Users/bstove/Library/Mobile Documents/iCloud~md~obsidian/Documents/Notes-Vault/00_Inbox/ricemaker/security-behavior-1-s2.0-S0040162523007138-main.pdf.md,completed
2026-04-07 06:41:30,ollama/gemma4:26b,/Volumes/home/archives/papers/jules_white_ntu_talk_Jan24.pdf,/Users/bstove/Library/Mobile Documents/iCloud~md~obsidian/Documents/Notes-Vault/00_Inbox/ricemaker/jules_white_ntu_talk_Jan24.pdf.md,completed
2026-04-07 06:44:12,ollama/gemma4:26b,/Volumes/home/archives/papers/Book Review-Why Cybersecurity Fails in America.pdf,/Users/bstove/Library/Mobile Documents/iCloud~md~obsidian/Documents/Notes-Vault/00_Inbox/ricemaker/Book Review-Why Cybersecurity Fails in America.pdf.md,completed
2026-04-07 06:49:54,ollama/gemma4:26b,/Volumes/home/archives/papers/warning-upgrade-your-personal-operating-model.pdf,/Users/bstove/Library/Mobile Documents/iCloud~md~obsidian/Documents/Notes-Vault/00_Inbox/ricemaker/warning-upgrade-your-personal-operating-model.pdf.md,completed
2026-04-07 07:53:02,ollama/gemma4:26b,"/Volumes/home/archives/papers/AI-Driven Project Management Harnessing the Power of Artificial Intelligence and ChatGPT (Bainey, Kristian).pdf","/Users/bstove/Library/Mobile Documents/iCloud~md~obsidian/Documents/Notes-Vault/00_Inbox/ricemaker/AI-Driven Project Management Harnessing the Power of Artificial Intelligence and ChatGPT (Bainey, Kristian).pdf.md",completed
2026-04-07 07:53:06,ollama/gemma4:26b,/Volumes/home/archives/papers/EnsignxSTH IR Day_TheEdge 30Nov2023_231201_085417.pdf,/app/N/A,error
2026-04-07 08:00:26,ollama/gemma4:26b,/Volumes/home/archives/papers/the-next-frontier-for-ai-in-china-could-add-$600-billion-to-its-economy.pdf,/Users/bstove/Library/Mobile Documents/iCloud~md~obsidian/Documents/Notes-Vault/00_Inbox/ricemaker/the-next-frontier-for-ai-in-china-could-add-$600-billion-to-its-economy.pdf.md,completed
2026-04-07 08:38:44,ollama/gemma4:26b,/Volumes/home/archives/papers/Singapore-Cyber-Landscape-2022.pdf,/Users/bstove/Library/Mobile Documents/iCloud~md~obsidian/Documents/Notes-Vault/00_Inbox/ricemaker/Singapore-Cyber-Landscape-2022.pdf.md,completed
